H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
Sn,-4.0,-18.0,15.0,18.0,-23.0,-90.0,-8.0,-9.0,4.0,-11.0,-7.5,-7.0,-45.0,-45.0,-21.0,-1.0,10.0,-7.0,11.0,0.0,-4.0,7.0,1.0,1.0,-12.5,-1.0,-7.0,-46.0,-51.0,-43.0,-1.0,20.0,5.0,4.0,-13.0,-34.0,-3.0,0.0,0.0,0.0,-1.0,-7.0,-51.0,-53.0,-52.0,-52.0,-51.0,-52.0,-51.0,-44.0,-51.0,-50.0,-50.0,-49.0,-49.0,-49.0,-43.0,-49.0,-35.0,-3.0,27.0,20.0,9.0,-5.0,-25.0,-10.0,0.0,2.0,2.0,1.0,-48.0,-23.0,-30.0
Sb,-1.0,-28.0,18.0,23.0,-13.0,-74.0,-20.0,-16.0,2.0,-8.0,2.5,-22.0,-62.0,-61.0,-33.0,-8.0,7.0,-11.0,10.0,2.0,-1.0,7.0,-1.0,-1.0,-10.5,3.0,-24.0,-66.0,-68.0,-60.0,-11.0,17.0,8.0,9.0,-8.0,-28.0,-4.0,-2.0,-4.0,-1.0,0.0,-25.0,-72.0,-71.0,-70.0,-69.0,-69.0,-69.0,-68.0,-63.0,-68.0,-67.0,-67.0,-66.0,-66.0,-66.0,-61.0,-66.0,-50.0,-13.0,25.0,23.0,14.0,1.0,-17.0,-4.0,-1.0,-1.0,1.0,1.0,-65.0,-34.0,-42.0
Cs,-16.0,16.0,29.0,29.0,-43.0,-155.0,3.0,25.0,26.0,-3.0,-24.5,0.0,19.0,70.0,104.0,103.0,97.0,71.0,85.0,58.0,48.0,28.0,15.0,14.0,-19.5,-12.0,0.0,14.0,62.0,101.0,135.0,128.0,69.0,64.0,34.0,-9.0,8.0,1.0,-4.0,-7.0,-25.0,0.0,12.0,57.0,59.0,60.0,60.0,63.0,62.0,16.0,62.0,64.0,63.0,62.0,65.0,65.0,19.0,67.0,104.0,130.0,132.0,101.0,74.0,45.0,10.0,-9.0,-11.0,-15.0,-25.0,-27.0,78.0,104.0,81.0
Ba,-49.0,0.0,-10.0,-19.0,-90.0,-212.0,-3.0,-4.0,-20.0,-52.0,-85.5,6.0,1.0,28.0,57.0,57.0,50.0,29.0,37.0,11.0,0.0,-9.0,-23.0,-30.0,-63.5,-66.0,9.0,0.0,20.0,52.0,81.0,73.0,11.0,6.0,-21.0,-62.0,-28.0,-36.0,-42.0,-51.0,-72.0,12.0,0.0,16.0,17.0,18.0,18.0,20.0,20.0,0.0,20.0,21.0,21.0,20.0,22.0,22.0,1.0,24.0,54.0,77.0,74.0,42.0,15.0,-14.0,-50.0,-60.0,-49.0,-49.0,-62.0,-68.0,30.0,52.0,36.0
La,-60.0,6.0,-29.0,-47.0,-116.0,-235.0,24.0,-7.0,-38.0,-73.0,-112.5,46.0,8.0,2.0,20.0,22.0,17.0,3.0,5.0,-17.0,-27.0,-21.0,-31.0,-41.0,-73.5,-81.0,52.0,14.0,0.0,13.0,36.0,31.0,-23.0,-28.0,-50.0,-82.0,-30.0,-36.0,-39.0,-53.0,-71.0,57.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,15.0,33.0,32.0,3.0,-21.0,-48.0,-80.0,-73.0,-45.0,-38.0,-51.0,-58.0,3.0,15.0,7.0
Ce,-61.0,7.0,-30.0,-48.0,-116.0,-234.0,25.0,-7.0,-38.0,-73.0,-112.5,47.0,9.0,2.0,18.0,20.0,15.0,1.0,3.0,-18.0,-28.0,-21.0,-31.0,-41.0,-73.5,-81.0,53.0,15.0,0.0,12.0,34.0,29.0,-25.0,-30.0,-52.0,-83.0,-30.0,-36.0,-38.0,-52.0,-70.0,59.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,14.0,31.0,29.0,0.0,-24.0,-50.0,-81.0,-73.0,-44.0,-37.0,-50.0,-57.0,2.0,14.0,6.0
Pr,-61.0,7.0,-31.0,-49.0,-117.0,-233.0,26.0,-6.0,-38.0,-73.0,-112.5,49.0,10.0,1.0,17.0,18.0,13.0,0.0,1.0,-20.0,-30.0,-22.0,-31.0,-41.0,-72.5,-81.0,55.0,16.0,0.0,10.0,32.0,26.0,-27.0,-32.0,-53.0,-83.0,-30.0,-35.0,-37.0,-52.0,-69.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,29.0,26.0,-2.0,-26.0,-52.0,-82.0,-73.0,-43.0,-36.0,-49.0,-56.0,2.0,12.0,5.0
Nd,-61.0,7.0,-31.0,-49.0,-116.0,-235.0,26.0,-6.0,-38.0,-73.0,-112.5,49.0,10.0,2.0,17.0,18.0,13.0,0.0,1.0,-20.0,-30.0,-22.0,-31.0,-40.0,-101.5,-80.0,55.0,16.0,0.0,10.0,32.0,26.0,-27.0,-32.0,-53.0,-83.0,-29.0,-35.0,-37.0,-51.0,-69.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,29.0,26.0,-2.0,-26.0,-51.0,-82.0,-73.0,-43.0,-36.0,-49.0,-55.0,2.0,12.0,5.0
Pm,-61.0,8.0,-33.0,-51.0,-118.0,-233.0,28.0,-6.0,-39.0,-74.0,-114.5,51.0,11.0,1.0,15.0,16.0,10.0,-2.0,-2.0,-23.0,-32.0,-23.0,-32.0,-41.0,-73.5,-81.0,57.0,18.0,0.0,9.0,29.0,23.0,-30.0,-35.0,-56.0,-86.0,-30.0,-35.0,-37.0,-52.0,-69.0,63.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,27.0,23.0,-5.0,-29.0,-55.0,-85.0,-75.0,-43.0,-35.0,-49.0,-55.0,1.0,10.0,4.0
Sm,-61.0,8.0,-32.0,-50.0,-117.0,-202.0,28.0,-6.0,-38.0,-74.0,-113.5,50.0,11.0,1.0,15.0,17.0,11.0,-1.0,-1.0,-22.0,-31.0,-22.0,-31.0,-40.0,-72.5,-80.0,56.0,17.0,0.0,9.0,30.0,24.0,-29.0,-34.0,-54.0,-84.0,-30.0,-35.0,-36.0,-51.0,-68.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,27.0,24.0,-4.0,-28.0,-53.0,-84.0,-74.0,-43.0,-35.0,-48.0,-54.0,1.0,11.0,4.0
Eu,-45.0,-1.0,-12.0,-19.0,-87.0,-231.0,0.0,-5.0,-19.0,-49.0,-79.5,10.0,0.0,21.0,48.0,49.0,43.0,23.0,30.0,7.0,-3.0,-10.0,-21.0,-27.0,-58.5,-60.0,13.0,0.0,14.0,42.0,69.0,63.0,6.0,2.0,-24.0,-61.0,-27.0,-32.0,-35.0,-44.0,-63.0,16.0,0.0,11.0,12.0,13.0,13.0,14.0,14.0,0.0,14.0,15.0,15.0,15.0,16.0,16.0,0.0,18.0,44.0,66.0,64.0,34.0,9.0,-18.0,-51.0,-58.0,-43.0,-41.0,-53.0,-58.0,23.0,43.0,29.0
Gd,-61.0,8.0,-32.0,-50.0,-117.0,-232.0,28.0,-6.0,-39.0,-73.0,-113.5,50.0,11.0,1.0,15.0,17.0,11.0,-1.0,-1.0,-22.0,-31.0,-22.0,-31.0,-40.0,-72.5,-80.0,56.0,17.0,0.0,9.0,30.0,24.0,-29.0,-34.0,-54.0,-84.0,-29.0,-35.0,-36.0,-51.0,-68.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,27.0,24.0,-4.0,-28.0,-53.0,-83.0,-74.0,-43.0,-35.0,-48.0,-54.0,1.0,11.0,4.0
Tb,-61.0,9.0,-33.0,-51.0,-118.0,-232.0,29.0,-6.0,-39.0,-74.0,-113.5,52.0,12.0,1.0,14.0,15.0,9.0,-3.0,-3.0,-23.0,-32.0,-23.0,-31.0,-40.0,-72.5,-80.0,58.0,18.0,0.0,8.0,28.0,22.0,-30.0,-35.0,-56.0,-85.0,-29.0,-34.0,-35.0,-50.0,-67.0,64.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,25.0,21.0,-7.0,-30.0,-55.0,-85.0,-74.0,-42.0,-34.0,-47.0,-53.0,1.0,10.0,3.0
Dy,-61.0,9.0,-32.0,-51.0,-117.0,-231.0,29.0,-6.0,-38.0,-74.0,-112.5,51.0,12.0,1.0,14.0,15.0,9.0,-3.0,-3.0,-23.0,-32.0,-22.0,-31.0,-40.0,-71.5,-80.0,58.0,18.0,0.0,8.0,27.0,22.0,-30.0,-35.0,-55.0,-84.0,-29.0,-34.0,-35.0,-50.0,-67.0,63.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,25.0,21.0,-7.0,-29.0,-55.0,-84.0,-74.0,-42.0,-34.0,-46.0,-53.0,1.0,9.0,3.0
Ho,-60.0,8.0,-32.0,-50.0,-116.0,-229.0,28.0,-6.0,-38.0,-73.0,-111.5,51.0,11.0,1.0,14.0,16.0,10.0,-2.0,-2.0,-22.0,-31.0,-22.0,-30.0,-39.0,-71.5,-79.0,57.0,18.0,0.0,9.0,28.0,22.0,-29.0,-34.0,-54.0,-83.0,-29.0,-33.0,-35.0,-49.0,-66.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,26.0,22.0,-5.0,-28.0,-53.0,-83.0,-72.0,-41.0,-33.0,-46.0,-52.0,1.0,10.0,3.0
Er,-61.0,9.0,-33.0,-52.0,-118.0,-230.0,30.0,-5.0,-38.0,-74.0,-113.5,53.0,13.0,0.0,13.0,14.0,8.0,-4.0,-5.0,-24.0,-34.0,-23.0,-31.0,-40.0,-71.5,-79.0,59.0,20.0,0.0,7.0,26.0,20.0,-32.0,-37.0,-57.0,-85.0,-29.0,-33.0,-34.0,-49.0,-66.0,65.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,23.0,19.0,-9.0,-31.0,-56.0,-86.0,-74.0,-41.0,-33.0,-45.0,-52.0,1.0,8.0,2.0
Tm,-61.0,9.0,-33.0,-52.0,-117.0,-229.0,30.0,-5.0,-38.0,-74.0,-112.5,52.0,13.0,0.0,12.0,13.0,8.0,-4.0,-5.0,-24.0,-34.0,-23.0,-30.0,-39.0,-71.5,-79.0,59.0,20.0,0.0,7.0,25.0,19.0,-32.0,-37.0,-56.0,-85.0,-29.0,-33.0,-34.0,-49.0,-66.0,65.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,23.0,19.0,-9.0,-31.0,-56.0,-85.0,-74.0,-41.0,-32.0,-45.0,-51.0,1.0,8.0,2.0
Yb,-45.0,-1.0,-14.0,-22.0,-88.0,-199.0,2.0,-6.0,-20.0,-51.0,-80.5,12.0,0.0,16.0,41.0,43.0,37.0,19.0,25.0,2.0,-7.0,-12.0,-21.0,-27.0,-58.5,-59.0,16.0,1.0,10.0,36.0,61.0,55.0,1.0,-4.0,-28.0,-62.0,-28.0,-31.0,-34.0,-43.0,-61.0,19.0,1.0,8.0,8.0,9.0,9.0,11.0,10.0,0.0,10.0,11.0,11.0,11.0,12.0,12.0,0.0,14.0,38.0,58.0,56.0,28.0,4.0,-22.0,-54.0,-59.0,-42.0,-39.0,-50.0,-55.0,18.0,36.0,24.0
Lu,-61.0,10.0,-35.0,-54.0,-119.0,-231.0,31.0,-5.0,-39.0,-75.0,-114.5,55.0,14.0,0.0,11.0,11.0,5.0,-6.0,-7.0,-27.0,-36.0,-24.0,-31.0,-40.0,-71.5,-80.0,61.0,21.0,0.0,6.0,23.0,17.0,-35.0,-40.0,-59.0,-87.0,-30.0,-33.0,-34.0,-49.0,-66.0,67.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,21.0,16.0,-12.0,-34.0,-59.0,-88.0,-75.0,-41.0,-32.0,-45.0,-51.0,0.0,7.0,1.0
Hf,-63.0,30.0,-37.0,-66.0,-123.0,-218.0,63.0,10.0,-39.0,-77.0,-117.5,92.0,39.0,5.0,0.0,-2.0,-9.0,-12.0,-21.0,-35.0,-42.0,-17.0,-24.0,-34.0,-65.5,-75.0,98.0,50.0,11.0,0.0,4.0,-4.0,-47.0,-52.0,-63.0,-80.0,-13.0,-19.0,-18.0,-35.0,-50.0,104.0,54.0,15.0,14.0,13.0,13.0,11.0,11.0,44.0,11.0,10.0,10.0,10.0,9.0,9.0,38.0,8.0,0.0,3.0,-6.0,-30.0,-48.0,-68.0,-90.0,-63.0,-23.0,-11.0,-23.0,-30.0,6.0,-2.0,-1.0
Ta,-46.0,48.0,-24.0,-54.0,-101.0,-173.0,89.0,30.0,-19.0,-56.0,-89.5,119.0,60.0,16.0,1.0,-1.0,-7.0,-4.0,-15.0,-24.0,-29.0,2.0,-3.0,-10.0,-37.5,-45.0,125.0,73.0,27.0,3.0,0.0,-5.0,-35.0,-39.0,-45.0,-52.0,15.0,9.0,13.0,-3.0,-13.0,130.0,77.0,33.0,31.0,29.0,29.0,27.0,27.0,66.0,27.0,25.0,25.0,26.0,23.0,23.0,58.0,21.0,3.0,0.0,-7.0,-24.0,-38.0,-52.0,-66.0,-32.0,9.0,24.0,15.0,9.0,18.0,3.0,8.0
W,-24.0,50.0,-3.0,-31.0,-60.0,-103.0,97.0,38.0,-2.0,-31.0,-46.5,124.0,57.0,9.0,-6.0,-1.0,1.0,6.0,0.0,-1.0,-3.0,22.0,15.0,11.0,-7.5,-9.0,129.0,70.0,24.0,-9.0,-8.0,0.0,-7.0,-10.0,-9.0,-6.0,43.0,33.0,38.0,27.0,25.0,132.0,74.0,32.0,29.0,26.0,26.0,23.0,24.0,64.0,24.0,21.0,21.0,22.0,19.0,19.0,56.0,16.0,-6.0,-7.0,0.0,-4.0,-10.0,-16.0,-20.0,12.0,38.0,52.0,49.0,45.0,12.0,1.0,8.0
Re,-18.0,29.0,0.0,-25.0,-42.0,-72.0,73.0,21.0,-9.0,-31.0,-32.5,95.0,28.0,-17.0,-25.0,-13.0,-4.0,-1.0,0.0,2.0,2.0,18.0,8.0,3.0,-7.5,-6.0,98.0,39.0,-4.0,-35.0,-26.0,-7.0,0.0,-1.0,1.0,6.0,38.0,25.0,29.0,20.0,23.0,101.0,42.0,3.0,0.0,-2.0,-2.0,-5.0,-4.0,34.0,-4.0,-7.0,-7.0,-5.0,-9.0,-9.0,28.0,-12.0,-30.0,-24.0,-4.0,0.0,-1.0,-3.0,-4.0,20.0,33.0,44.0,44.0,40.0,-16.0,-17.0,-10.0
Os,-19.0,11.0,-2.0,-24.0,-35.0,-60.0,52.0,5.0,-18.0,-36.0,-29.5,70.0,4.0,-39.0,-41.0,-23.0,-11.0,-9.0,-4.0,0.0,1.0,10.0,-1.0,-7.0,-14.5,-11.0,72.0,13.0,-28.0,-55.0,-39.0,-14.0,0.0,0.0,2.0,8.0,28.0,14.0,16.0,9.0,14.0,74.0,15.0,-21.0,-24.0,-26.0,-26.0,-29.0,-28.0,9.0,-28.0,-30.0,-29.0,-28.0,-31.0,-31.0,4.0,-34.0,-48.0,-38.0,-10.0,-1.0,0.0,-1.0,0.0,18.0,23.0,30.0,32.0,29.0,-39.0,-33.0,-26.0
Ir,-20.0,-9.0,-5.0,-26.0,-32.0,-54.0,28.0,-13.0,-30.0,-43.0,-30.5,42.0,-23.0,-62.0,-57.0,-34.0,-18.0,-18.0,-9.0,-3.0,-2.0,0.0,-13.0,-21.0,-24.5,-19.0,44.0,-16.0,-53.0,-76.0,-53.0,-21.0,-2.0,-1.0,1.0,6.0,16.0,0.0,0.0,-5.0,1.0,45.0,-14.0,-48.0,-50.0,-52.0,-51.0,-55.0,-53.0,-18.0,-53.0,-55.0,-55.0,-53.0,-56.0,-56.0,-22.0,-59.0,-68.0,-52.0,-16.0,-3.0,-1.0,0.0,0.0,13.0,9.0,14.0,16.0,14.0,-64.0,-50.0,-44.0
Pt,-24.0,-33.0,-10.0,-28.0,-30.0,-52.0,-1.0,-35.0,-44.0,-53.0,-34.5,9.0,-55.0,-89.0,-74.0,-45.0,-24.0,-28.0,-13.0,-7.0,-5.0,-12.0,-29.0,-38.0,-37.5,-31.0,9.0,-50.0,-83.0,-100.0,-67.0,-28.0,-3.0,-1.0,-2.0,2.0,-1.0,-18.0,-21.0,-25.0,-17.0,10.0,-50.0,-80.0,-81.0,-82.0,-82.0,-85.0,-84.0,-51.0,-83.0,-85.0,-84.0,-83.0,-86.0,-85.0,-54.0,-88.0,-90.0,-66.0,-20.0,-4.0,0.0,0.0,0.0,4.0,-9.0,-8.0,-5.0,-8.0,-94.0,-68.0,-63.0
Au,-8.0,-37.0,0.0,-2.0,-20.0,-58.0,-14.0,-32.0,-22.0,-30.0,-13.5,-9.0,-60.0,-74.0,-47.0,-19.0,0.0,-11.0,8.0,7.0,7.0,-9.0,-16.0,-19.0,-21.5,-11.0,-10.0,-59.0,-74.0,-74.0,-32.0,3.0,14.0,15.0,7.0,0.0,-6.0,-11.0,-11.0,-10.0,-4.0,-9.0,-60.0,-73.0,-73.0,-73.0,-73.0,-75.0,-74.0,-58.0,-74.0,-74.0,-74.0,-72.0,-74.0,-74.0,-59.0,-75.0,-63.0,-32.0,12.0,20.0,18.0,13.0,4.0,0.0,-4.0,-2.0,2.0,2.0,-78.0,-43.0,-45.0
Hg,-3.0,-19.0,15.0,19.0,-20.0,-81.0,-11.0,-10.0,4.0,-10.0,-4.5,-10.0,-43.0,-37.0,-10.0,10.0,21.0,4.0,22.0,12.0,8.0,8.0,1.0,1.0,-11.5,0.0,-11.0,-45.0,-43.0,-31.0,11.0,32.0,18.0,18.0,2.0,-18.0,-1.0,0.0,-1.0,0.0,-1.0,-11.0,-49.0,-45.0,-44.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-42.0,-42.0,-41.0,-41.0,-41.0,-42.0,-41.0,-23.0,9.0,38.0,33.0,23.0,9.0,-9.0,-4.0,0.0,1.0,1.0,1.0,-39.0,-10.0,-18.0
Tl,-3.0,-15.0,23.0,27.0,-19.0,-91.0,-11.0,-3.0,11.0,-4.0,-1.5,-13.0,-40.0,-28.0,2.0,22.0,31.0,11.0,31.0,18.0,13.0,15.0,6.0,6.0,-9.5,3.0,-14.0,-44.0,-35.0,-19.0,26.0,46.0,25.0,24.0,5.0,-21.0,3.0,2.0,0.0,2.0,-1.0,-15.0,-49.0,-38.0,-37.0,-36.0,-36.0,-35.0,-35.0,-41.0,-35.0,-34.0,-34.0,-33.0,-33.0,-32.0,-39.0,-32.0,-11.0,24.0,52.0,44.0,30.0,14.0,-8.0,-2.0,1.0,0.0,-1.0,-1.0,-28.0,1.0,-10.0
Pb,-1.0,-21.0,25.0,30.0,-13.0,-82.0,-18.0,-8.0,10.0,-2.0,4.5,-21.0,-52.0,-40.0,-8.0,15.0,28.0,7.0,29.0,17.0,13.0,15.0,5.0,5.0,-7.5,6.0,-23.0,-56.0,-48.0,-33.0,17.0,42.0,26.0,25.0,6.0,-18.0,3.0,2.0,-1.0,2.0,1.0,-25.0,-62.0,-51.0,-50.0,-49.0,-49.0,-49.0,-48.0,-53.0,-48.0,-47.0,-46.0,-46.0,-45.0,-45.0,-50.0,-45.0,-23.0,15.0,49.0,44.0,32.0,16.0,-5.0,2.0,1.0,-1.0,0.0,0.0,-41.0,-9.0,-20.0
Bi,0.0,-23.0,26.0,31.0,-12.0,-80.0,-20.0,-10.0,10.0,-2.0,5.5,-24.0,-56.0,-46.0,-14.0,10.0,24.0,3.0,26.0,14.0,10.0,15.0,4.0,4.0,-7.5,7.0,-26.0,-61.0,-54.0,-40.0,12.0,38.0,23.0,23.0,3.0,-21.0,2.0,1.0,-1.0,1.0,1.0,-27.0,-68.0,-58.0,-57.0,-56.0,-55.0,-55.0,-54.0,-58.0,-54.0,-53.0,-53.0,-52.0,-52.0,-51.0,-55.0,-51.0,-30.0,9.0,45.0,40.0,29.0,14.0,-8.0,2.0,1.0,-1.0,0.0,0.0,-48.0,-15.0,-26.0
Th,-61.0,14.0,-37.0,-57.0,-123.0,-237.0,39.0,-3.0,-40.0,-77.0,-119.5,65.0,19.0,0.0,8.0,9.0,2.0,-8.0,-11.0,-30.0,-39.0,-24.0,-30.0,-39.0,-72.5,-82.0,72.0,27.0,1.0,4.0,20.0,13.0,-39.0,-45.0,-63.0,-91.0,-29.0,-32.0,-31.0,-48.0,-65.0,78.0,30.0,3.0,2.0,2.0,2.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0,6.0,18.0,12.0,-16.0,-39.0,-64.0,-94.0,-78.0,-39.0,-28.0,-41.0,-48.0,0.0,4.0,0.0
U,-53.0,30.0,-27.0,-54.0,-105.0,-189.0,65.0,14.0,-30.0,-66.0,-98.5,93.0,37.0,3.0,0.0,1.0,-3.0,-5.0,-11.0,-23.0,-29.0,-7.0,-15.0,-25.0,-52.5,-60.0,99.0,48.0,11.0,-3.0,4.0,2.0,-31.0,-36.0,-46.0,-59.0,0.0,-8.0,-7.0,-23.0,-34.0,104.0,52.0,15.0,14.0,12.0,12.0,10.0,11.0,43.0,11.0,10.0,9.0,10.0,8.0,8.0,36.0,7.0,-2.0,3.0,1.0,-17.0,-33.0,-50.0,-68.0,-43.0,-10.0,1.0,-9.0,-15.0,4.0,0.0,1.0
Pu,-54.0,21.0,-25.0,-50.0,-102.0,-188.0,49.0,6.0,-33.0,-66.0,-95.5,72.0,24.0,-1.0,2.0,4.0,2.0,-4.0,-6.0,-19.0,-25.0,-9.0,-20.0,-29.0,-56.5,-62.0,77.0,33.0,4.0,-3.0,9.0,8.0,-26.0,-30.0,-42.0,-58.0,-6.0,-16.0,-16.0,-30.0,-42.0,81.0,36.0,7.0,6.0,5.0,5.0,4.0,4.0,29.0,4.0,3.0,3.0,3.0,2.0,2.0,24.0,1.0,-1.0,8.0,8.0,-10.0,-26.0,-44.0,-63.0,-45.0,-18.0,-10.0,-20.0,-26.0,0.0,1.0,0.0
